Word,POS,label
An,DT,O
Employee,NNP,Entity
works,NNS,Relation
for,IN,O
a,DT,O
project,NN,Entity
He,PRP,O
has,VBZ,O
a,DT,O
number,NN,Attribute
name,NN,Attribute
and ,CC,O
number-of-years,NNS,Attribute
worked,VBN,O
That,DT,O
has,VBZ,O
projectnumber,VBN,Attribute
and ,CC,O
a,DT,O
budget,NN,Attribute
department,NN,Entity
Political,JJ,Attribute
party,NNP,Entity
belongs,NNS,Relation
to,TO,O
a,DT,O
person,NN,Entity
who,WP,O
owns,VBZ,Relation
car,NN,Entity
product,NN,Entity
is,VBZ,O
shipped,VBN,Relation
to,TO,O
customer,NN,Entity
This,DT,O
shipping,NN,Relation
is,VBZ,O
performed,VBN,Relation
by,IN,O
clerk,NN,Entity
manager,NN,Entity
decides,VBZ,Relation
an,DT,O
assignment,NN,Entity
company,NN,Entity
has,VBZ,Relation
50,CD,Cardinality
plants,NN,Entity
located,VBN,Relation
in,IN,O
40,CD,Cardinality
states,NNS,Entity
approximately,RB,O
1000000,CD,Cardinality
employees,NNS,Entity
Each,DT,O
plants,NN,Entity
is,VBZ,O
divided,VBN,Relation
into,IN,O
departments,NNS,Entity
and ,CC,O
further,RB,O
subdivided,VBD,Relation
into,IN,O
work,NN,Entity
stations,NNS,Entity
each,DT,O
department,NN,Entity
There,EX,O
is,VBZ,O
an,DT,O
on-line,JJ,O
time,NN,O
clock,NN,Entity
which,WDT,O
employees,NNS,Entity
report,VBP,Relation
their,PRP,O
arrival,NN,Entity
departure,NN,Entity
A,DT,O
work,NN,Entity
task,NN,Entity
is,VBZ,O
associated,VBN,Relation
with,IN,O
one,CD,Cardinality
of,IN,O
20,CD,Cardinality
different,JJ,O
job type,NN,Entity
Each,DT,O
of,IN,O
these,DT,O
jobs,NN,Entity
can,MD,O
be ,VB,O
performed,VBN,Relation
at,IN,O
each,DT,O
of,IN,O
the,DT,O
plants,NNS,Entity
During,IN,O
a,DT,O
given,VBN,O
day,NN,O
an,DT,O
employee,NN,Entity
may,MD,O
performed,VB,Relation
more,JJR,Attribute
than,IN,O
one,CD,Cardinality
work,NN,Entity
task,NN,Entity
each,DT,O
associated,VBN,Relation
with,NN,O
a,DT,O
different,JJ,O
job,NN,Entity
type,NN,Entity
and ,CC,O
each,DT,O
can,MD,O
be,VB,O
performed,VBN,Relation
at,IN,O
a,DT,O
,,
work,NN,Entity
station,NN,Entity
Each,DT,O
work,NN,Entity
station,NN,Entity
